Truss area,PSO best,PSO worst,Gellatly and Berke,Schimit and Miura,Ghasemi et al.,Schimit and Farshi,Dobbs and Nelson,Rizzi,Haug and Arora,Haftka and Grdal,Adeli and Kamal,El-Sayed and Jang,Galante,Memari and Fuladgar
01,33.5,33.5,31.35,30.57,25.73,33.432,30.5,30.731,30.031,30.52,31.28,32.966,30.44,30.561
02,0.1,0.1,0.1,0.369,0.109,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
03,22.766,33.5,20.03,23.97,24.85,24.26,23.29,23.934,23.274,23.2,24.65,22.799,21.79,27.946
04,14.417,13.304,15.6,14.73,16.35,14.26,15.428,14.733,15.286,15.22,15.39,14.146,14.26,13.619
05,0.1,0.1,0.14,0.1,0.106,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
06,0.1,0.1,0.24,0.109,0.109,0.1,0.21,0.1,0.557,0.551,0.1,0.739,0.451,0.1
07,7.534,6.826,8.35,8.547,8.7,8.388,7.649,8.542,7.468,7.457,7.9,6.381,7.628,7.907
08,20.467,18.935,22.21,21.11,21.41,20.74,20.98,20.954,21.198,21.04,21.53,20.912,21.63,19.345
09,20.392,18.814,22.06,20.77,22.3,19.69,21.818,21.836,21.618,21.53,19.07,20.978,21.36,19.273
10,0.1,0.1,0.1,0.32,0.122,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Weight,5024.21,5176.27,5112.0,5107.3,5095.65,5089.0,5080.0,5061.6,5060.92,5060.8,5052.0,5013.24,4987.0,4981.1
