experiment,member,i_node,j_node,stress_ksi,ui_x_in,ui_y_in,uj_x_in,uj_y_in,mass_lbm,status,provided_weight_lbm,computed_weight_lbm,weight_diff_lbm,weight_mismatch_flag,stress_violation_amount_ksi,displacement_violation_amount_in
RobustCode,1,5,3,6.617690135357127,0.0,0.0,0.23823684487285657,-0.7320228931270057,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,2,3,1,-1.3222911170212317,0.23823684487285657,-0.7320228931270057,0.19063436466009223,-1.999999992456884,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,3,6,4,-8.670914457754508,0.0,0.0,-0.31215292047916227,-1.6320063417884363,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,4,4,2,-6.546703579737158,-0.31215292047916227,-1.6320063417884363,-0.5478342493496999,-1.9909767033909211,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,5,3,4,24.999540240595294,0.23823684487285657,-0.7320228931270057,-0.31215292047916227,-1.6320063417884363,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,6,1,2,-0.25064691849897075,0.19063436466009223,-1.999999992456884,-0.5478342493496999,-1.9909767033909211,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,7,5,4,18.331297518184357,0.0,0.0,-0.31215292047916227,-1.6320063417884363,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,8,6,3,-6.858139559085404,0.0,0.0,0.23823684487285657,-0.7320228931270057,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,9,3,2,6.567815500574428,0.23823684487285657,-0.7320228931270057,-0.5478342493496999,-1.9909767033909211,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
RobustCode,10,4,1,1.8721338120945352,-0.31215292047916227,-1.6320063417884363,0.19063436466009223,-1.999999992456884,5061.309440625894,all constraints satisfied,5061.309399,5061.309440625894,4.1625894482422154e-05,False,0.0,0.0
NonRobustCode,1,5,3,6.478101142338692,0.0,0.0,0.2332116411241929,-0.7314146514923919,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,2,3,1,-1.2771530098207637,0.2332116411241929,-0.7314146514923919,0.1872341327706454,-1.9999991809522495,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,3,6,4,-8.655734630742048,0.0,0.0,-0.3116064467067137,-1.6312026332303087,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,4,4,2,-6.6183203823326995,-0.3116064467067137,-1.6312026332303087,-0.5498659804706909,-1.991364290884311,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,5,3,4,24.99411060383102,0.2332116411241929,-0.7314146514923919,-0.3116064467067137,-1.6312026332303087,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,6,1,2,-0.23985805744273597,0.1872341327706454,-1.9999991809522495,-0.5498659804706909,-1.991364290884311,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,7,5,4,18.327724812827704,0.0,0.0,-0.3116064467067137,-1.6312026332303087,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,8,6,3,-6.919486255113874,0.0,0.0,0.2332116411241929,-0.7314146514923919,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,9,3,2,6.623222469403265,0.2332116411241929,-0.7314146514923919,-0.5498659804706909,-1.991364290884311,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
NonRobustCode,10,4,1,1.806167107714144,-0.3116064467067137,-1.6312026332303087,0.1872341327706454,-1.9999991809522495,5061.90271773082,all constraints satisfied,5061.90275,5061.90271773082,3.2269180337607395e-05,False,0.0,0.0
